csdid,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col88,col89,col90,col91,col92,col93,col94,col95,col96
36,647,666,342,32.1,20.15,51.6,58,2.2,645,290,280,0,0,0,10,0,0,0,570,395,175,2.5,1.6,225,195,25,0.3,35000,31000,650,635,0,10,0,650,650,0,0,0,655,0,650,645,0,650,10,645,650,0,650,0,650,0,605,0,0,0,0,0,0,45,550,145,155,250,47.3,40.9,15.4,645,605,0,30,41600,35400,43600,36800,77500,66000,220,90,60,10,0,55,245,194000,186000
38,1211,1118,951,6.3,190.76,48,53.6,2.3,1210,535,515,0,0,5,0,0,0,5,1045,770,275,2.6,1.6,410,385,30,0.31,64000,51000,1215,1160,0,50,0,1215,1205,5,0,0,1210,10,1215,1205,5,1210,35,1170,1210,0,1210,0,1210,0,1050,0,0,0,0,0,0,165,1055,210,255,590,55.5,45,18.8,1200,1095,0,105,45900,38300,43900,36600,89200,74400,430,190,50,45,35,115,475,250000,254000
39,955,890,584,44.4,21.51,47.5,51.6,2.3,950,420,400,0,5,0,10,0,0,5,840,560,280,2.7,1.6,305,275,25,0.32,39600,34000,950,900,0,50,0,950,945,0,0,0,950,25,950,935,10,950,20,930,950,25,925,0,950,0,735,0,0,0,0,0,0,190,815,200,210,400,54,44.2,18.2,945,825,45,70,43100,36600,45100,37100,81200,69200,320,205,35,25,30,25,340,194000,220000
41,351,373,174,15.6,22.53,49.4,54.8,2.3,315,135,135,0,0,0,0,0,0,0,305,210,95,2.6,1.7,110,100,10,0.28,52000,44000,320,310,0,5,0,320,320,0,0,0,335,0,320,320,5,335,0,325,335,0,335,0,335,0,275,0,0,0,0,0,0,60,280,55,70,155,60.7,57.1,5.9,320,265,0,45,48400,40400,52000,42800,98000,82000,110,40,25,15,0,25,135,218000,228000
47,436,450,287,41.1,10.61,55.5,59.2,2.1,420,205,200,0,0,0,0,0,0,0,410,250,160,2.6,1.6,135,120,15,0.31,37500,33500,440,430,0,5,0,440,435,0,0,0,420,0,440,435,0,420,0,415,420,0,415,0,420,0,375,0,0,0,0,0,0,50,390,130,140,120,39.7,30.8,25.8,415,400,0,15,37000,32000,33800,27900,68000,58800,75,45,10,0,0,0,200,100000,148000
48,318,329,217,10,31.86,55.6,60.4,2,320,160,150,0,0,5,0,0,0,5,295,200,95,2.3,1.4,110,100,10,0.29,35000,31000,315,310,0,5,0,315,315,0,0,0,395,0,315,315,0,400,15,375,400,0,400,0,395,0,350,0,0,0,0,0,0,40,370,135,90,150,41.9,29.7,25.8,395,320,0,70,35400,31100,34800,30300,73000,64000,100,25,10,35,15,15,155,110000,126000
50,608,633,316,43,14.14,49,53.2,2.3,575,255,235,0,10,0,5,0,0,0,540,335,205,2.7,1.6,185,165,20,0.28,40000,35000,590,585,0,5,0,590,590,0,0,0,555,0,590,580,5,550,0,550,550,0,540,0,550,0,540,0,0,0,0,0,0,0,490,105,185,205,54.1,53.1,3.8,555,555,0,0,41800,35200,42800,35800,78000,66000,265,170,40,0,15,30,230,140000,153000
52,414,387,327,17.9,23.12,53.9,60.4,2.1,415,200,200,0,0,0,0,0,0,0,380,255,125,2.5,1.8,140,125,15,0.32,26000,23000,415,405,0,10,0,415,415,0,0,0,440,0,415,415,0,440,25,415,440,0,440,0,440,0,365,0,0,0,0,0,0,75,430,80,135,215,46.5,39.5,12.5,440,425,0,15,37000,31800,35800,30300,75500,65000,145,50,35,20,15,25,195,180000,196000
54,764,680,393,181.6,4.21,50,55.2,2.3,765,340,315,10,0,10,0,0,0,0,680,460,220,2.6,1.6,255,230,25,0.32,40000,34500,760,760,0,5,0,760,765,0,0,0,765,0,760,765,0,765,0,765,765,0,765,0,760,0,710,0,0,0,0,0,0,55,675,180,175,320,49.6,37.8,22.4,765,710,10,45,36900,32200,37000,31450,72000,62600,245,40,95,40,10,50,310,190000,198000
56,4696,4858,2289,377.4,12.44,47.6,51.6,2.2,4505,2095,1785,55,85,20,150,0,0,0,4095,2255,1840,2.6,1.6,1390,1115,280,0.33,32700,29350,4560,4445,0,115,0,4560,4550,10,0,0,4500,115,4560,4500,45,4505,175,4330,4505,135,4370,55,4505,0,3845,0,0,0,0,0,10,625,3930,775,1115,2040,49,39.1,20.3,4460,4160,140,160,40600,34680,40840,34200,73800,63000,1435,950,205,45,20,210,1540,200000,216200
63,2630,2653,1247,39.8,66.09,45.1,48,2.4,2630,1110,1020,10,10,30,30,0,0,0,2245,1430,820,2.7,1.7,830,710,115,0.29,38800,32800,2630,2570,0,60,0,2630,2625,5,0,0,2655,10,2630,2620,10,2655,85,2570,2655,0,2650,0,2655,0,2225,0,0,0,0,0,0,420,2220,500,685,1035,48.6,39,19.9,2630,2390,105,135,39000,33640,40120,33800,75400,65000,780,270,285,55,50,120,960,200000,212000
66,874,928,463,107.9,8.1,46.9,50.4,2.4,875,370,370,5,0,0,0,0,0,0,745,475,270,2.7,1.8,285,235,50,0.31,40000,34500,880,845,0,30,0,880,875,5,0,0,875,10,880,875,0,880,45,835,875,0,875,0,880,0,825,0,0,0,0,0,0,50,740,205,245,290,46.6,39.9,15.9,860,830,0,25,42600,36600,41800,35500,80400,69200,255,175,35,15,0,25,330,226000,252000
72,356,372,292,27.7,12.85,47.2,51.2,2.1,355,165,155,0,5,0,0,0,0,5,325,185,140,2.6,1.4,115,90,20,0.28,40000,34000,360,345,0,10,0,360,355,0,0,0,390,0,360,355,0,390,0,385,390,0,385,0,390,0,375,0,0,0,0,0,0,20,345,90,40,215,58,50.7,15,385,365,0,25,40400,35000,50800,40000,80000,69500,175,55,35,25,20,35,135,210000,208000
73,699,723,506,60.9,11.48,50.1,55.2,2.1,695,325,315,0,10,0,5,0,0,5,620,360,265,2.6,1.5,220,175,50,0.31,36000,32000,700,670,0,25,0,700,700,0,0,0,715,0,700,690,0,715,10,705,715,0,715,0,715,0,645,0,0,0,0,0,0,70,630,165,130,325,42.9,31.7,25.9,710,645,20,45,43600,36800,44800,37000,81600,68800,185,45,65,15,25,40,285,224000,270000
74,829,663,1090,10.6,78.38,51.8,56.4,2,830,410,390,0,0,0,0,0,0,25,760,460,300,2.4,1.4,265,230,40,0.35,41000,35500,830,810,0,25,0,830,825,0,0,0,830,10,830,825,5,830,10,820,830,0,825,0,830,0,745,0,0,0,0,0,0,75,755,190,220,340,45,35.8,22.1,830,750,15,65,41700,35700,43000,36000,74000,63400,235,50,55,35,45,55,365,230000,268000
75,613,654,414,23.4,26.24,49.3,54.8,2.3,615,265,265,0,0,0,0,0,0,5,555,335,220,2.6,1.6,200,165,35,0.26,42000,36000,615,605,0,5,0,615,615,0,0,0,685,0,615,615,0,685,0,685,685,0,685,0,685,0,665,0,0,0,0,0,0,15,630,130,130,365,38.9,32.5,16.3,670,620,20,30,38800,34000,41800,35600,81000,71000,180,30,30,35,25,65,260,200000,214000
76,624,685,330,29.1,21.47,48.3,53.6,2.2,625,280,260,0,10,0,0,0,0,10,535,290,250,2.6,1.6,195,140,55,0.28,35500,31200,620,615,0,5,0,620,620,0,0,0,580,0,620,620,0,580,0,580,580,0,575,0,580,0,550,0,0,0,0,0,0,30,505,90,110,305,47.5,30.7,35.4,580,540,15,30,48800,40600,48800,39800,81000,67000,135,35,25,25,15,35,265,250000,232000
81,264,322,193,15.7,16.82,55.4,62,1.8,265,145,140,5,0,0,0,0,0,0,245,135,105,2.3,1.6,80,70,15,0.33,21000,21000,265,260,0,5,0,265,260,0,0,0,300,0,265,255,5,300,0,295,300,0,290,0,300,0,285,0,0,0,0,0,0,15,260,55,85,125,26.9,13.5,35.7,295,290,0,0,26000,24200,26200,24200,40000,37200,40,25,0,15,0,0,125,150000,180000
84,2063,2069,872,35.4,58.24,41.6,43.2,2.5,2055,825,765,10,10,30,0,0,5,5,1720,1060,660,2.9,1.7,625,530,95,0.3,41200,35600,2065,1985,0,70,0,2065,2050,15,0,0,2060,10,2065,2045,10,2060,45,2010,2060,20,2040,10,2055,0,1760,0,0,0,0,0,0,295,1710,295,520,895,57.6,52.6,9.1,2045,1860,40,150,46280,39080,46080,38360,92000,77800,785,75,295,325,70,25,735,250000,268000
85,1722,1683,675,95.1,18.1,38.7,40,2.7,1725,635,590,5,5,35,0,0,0,0,1370,960,410,2.9,1.7,530,480,55,0.25,70000,55000,1725,1610,0,105,0,1725,1700,15,0,0,1815,30,1725,1710,5,1815,70,1745,1815,15,1805,10,1815,0,1505,0,0,0,0,0,0,315,1445,125,445,870,66.1,59.5,9.4,1805,1635,85,85,61550,49480,62500,49240,130400,105000,730,85,375,220,25,25,605,348000,368000
86,7852,7899,3182,225,34.89,40.3,42.8,2.6,7780,2985,2395,30,15,500,35,10,0,0,6420,4145,2280,2.9,1.6,2400,2050,350,0.31,51400,42000,7850,7130,0,720,5,7850,7815,30,10,5,7780,220,7850,7735,75,7780,320,7465,7780,110,7670,60,7780,0,6265,0,10,50,0,0,10,1440,6345,810,1710,3830,67.8,61.2,9.7,7715,7170,260,280,62750,49400,63550,49600,126600,99900,3115,1015,1615,350,25,105,2460,348000,387600
87,2364,2221,940,139.1,16.99,43.5,46.8,2.7,2365,885,810,25,0,50,5,0,0,0,1980,1335,645,2.9,1.7,730,660,65,0.35,60800,46800,2365,2185,0,170,5,2365,2355,5,0,0,2360,110,2365,2280,50,2360,70,2290,2360,90,2275,70,2365,0,1970,0,0,0,0,0,0,390,1985,210,445,1330,66.5,59.9,9.5,2350,2120,135,95,75300,57850,78300,58850,158400,121800,945,355,530,25,0,25,815,424000,518000
88,412,452,172,25.7,16.05,43.2,44.8,2.6,415,160,160,0,0,0,0,0,0,0,345,230,115,2.7,1.6,135,115,20,0.29,52000,44000,410,400,0,10,0,410,410,0,0,0,315,0,410,410,0,315,20,295,315,0,315,0,315,0,250,0,0,0,0,0,0,70,280,35,65,180,62.5,55.4,14.3,315,300,0,10,56400,45200,56800,44800,108000,86000,115,20,50,40,0,0,125,300000,316000
89,22957,21389,9331,773.8,29.67,37.3,38,2.6,22795,8810,5780,125,65,2775,65,0,5,0,18445,11960,6480,2.9,1.7,6880,5955,930,0.28,56750,46280,22960,21120,5,1805,25,22960,22865,65,10,15,22795,400,22960,22630,240,22795,860,21940,22795,350,22450,205,22795,25,18380,10,0,45,0,0,20,4315,18290,1990,4090,12210,73.6,67.3,8.5,22570,20120,1105,1350,63050,50280,63550,50200,126000,100600,9965,3420,5390,610,105,440,6905,348000,372800
92,947,960,408,215.3,4.4,44,47.2,2.5,945,380,335,0,5,35,5,0,0,0,825,505,325,2.8,1.7,300,250,50,0.27,44000,37500,950,875,0,65,0,950,940,5,0,0,945,20,950,940,10,945,30,920,945,10,935,0,945,0,865,0,0,0,0,0,10,75,855,135,265,450,66.7,58.5,12.3,945,840,0,90,44500,37900,45500,38000,89600,76400,445,95,275,70,10,0,365,276000,275000
93,1566,1500,631,51.2,30.6,40.8,41.2,2.6,1570,595,555,0,0,15,20,0,0,5,1270,805,455,3,1.7,470,400,65,0.29,46000,39500,1565,1525,0,40,0,1565,1565,0,0,0,1565,30,1565,1550,15,1570,35,1535,1570,25,1540,15,1565,0,1395,0,0,0,0,0,0,150,1240,180,325,730,60.1,52,14.1,1545,1485,20,45,53200,43600,54300,44200,105200,86400,525,155,120,180,40,25,525,324000,324000
97,546,544,261,86.3,6.33,45.8,48.4,2.3,545,240,210,5,0,15,0,0,0,10,470,310,160,2.6,1.5,180,155,30,0.32,40000,36000,550,545,0,5,0,550,545,0,0,0,585,0,550,535,10,585,0,580,585,0,585,0,580,0,525,0,0,0,0,0,0,55,520,105,110,300,60.6,52.9,11.1,585,555,15,15,50600,41400,48200,39200,106000,87000,255,145,70,10,0,25,210,200000,206000
100,1115,1192,598,32,34.86,49.5,54.8,2.2,1065,485,470,5,5,0,5,0,0,0,985,585,400,2.6,1.6,345,285,60,0.33,33000,30800,1080,1065,0,15,0,1080,1075,5,0,0,1060,0,1080,1080,0,1060,20,1040,1060,10,1055,0,1060,0,990,0,0,0,0,0,0,75,935,185,335,420,53.5,43.9,18,1065,1015,0,40,38700,33500,40700,34900,72000,62600,405,345,25,20,0,15,405,100000,126000
114,5204,5316,2609,83.6,62.23,46.7,50.8,2.2,5080,2325,1725,35,180,235,150,0,0,5,4520,2710,1810,2.6,1.6,1630,1330,300,0.33,39000,33400,5080,4825,0,250,0,5080,5065,15,5,0,5080,90,5080,5000,50,5080,55,5025,5080,60,5020,50,5080,0,4585,0,0,0,0,0,0,445,4380,970,1025,2380,49.7,39.5,20.2,5040,4700,190,150,40920,34960,41120,34480,74300,63500,1610,1160,260,105,55,35,1655,200000,205400
120,538,566,422,0.4,1463.65,51,55.6,2.2,535,250,250,0,0,0,0,0,0,0,490,330,160,2.5,1.4,185,165,15,0.28,44000,36000,535,535,0,5,0,535,535,0,0,0,470,0,535,535,0,470,0,470,470,0,470,0,470,0,455,0,0,0,0,0,0,15,435,185,105,155,51.7,36.8,28.9,475,440,20,10,38400,33000,37800,32400,71500,61200,140,25,50,25,15,15,225,100000,129000
123,446,482,223,29.5,15.12,47.3,51.2,2.3,445,190,180,0,5,0,0,0,0,5,390,240,155,2.6,1.5,145,120,25,0.33,36000,32000,445,445,0,0,0,445,445,0,0,0,460,0,445,445,0,455,0,455,455,0,455,0,455,0,450,0,0,0,0,0,0,0,405,170,135,100,40.7,33.3,18.2,450,445,0,0,45600,37600,43800,35800,88000,73000,135,50,10,25,0,50,190,100000,114000
127,433,433,225,26.9,16.08,51.3,56.8,2.2,430,200,190,5,0,0,0,0,5,5,395,260,130,2.6,1.4,140,130,10,0.35,33000,30000,430,430,0,5,0,430,430,5,0,0,435,0,430,430,0,435,15,425,435,0,435,0,435,0,435,0,0,0,0,0,0,0,400,155,95,155,37.5,22.5,36.7,435,410,0,20,47200,38200,36200,31000,86000,70000,85,55,15,0,0,10,200,100000,106000
129,502,558,457,0.5,1027.96,58,61.6,1.9,500,270,265,0,0,0,0,0,0,0,480,315,165,2.3,1.4,170,155,15,0.29,32500,29200,505,495,0,10,0,505,500,0,0,0,555,0,505,500,0,555,50,500,555,0,555,0,550,0,480,0,0,0,0,0,0,70,495,140,135,220,42.4,33.3,21.4,545,520,0,15,37000,32600,42200,36000,67000,58800,160,35,55,35,25,10,255,100000,143000
134,348,374,170,158.4,2.2,41.5,46,2.4,345,140,135,0,0,10,0,0,0,0,280,175,105,2.9,1.8,105,90,15,0.3,24000,23000,345,345,0,0,0,345,345,0,0,0,355,0,345,345,0,350,0,350,350,0,345,0,350,0,335,0,0,0,0,0,0,15,290,165,85,45,39.7,37.9,0,355,315,30,0,28600,25600,25200,23000,50000,45000,110,90,0,10,0,0,120,50000,54000
144,1189,1186,650,58,20.48,50.5,56,2.1,1190,560,545,10,0,5,0,0,0,0,1055,665,395,2.6,1.6,385,330,55,0.29,32000,29600,1190,1180,0,10,0,1190,1190,5,0,0,1190,0,1190,1190,0,1190,325,860,1190,10,1180,0,1190,0,1165,0,0,0,0,0,0,25,1065,405,275,380,44.1,38,13.8,1185,1105,50,30,36800,32000,37300,32100,66000,57400,380,255,55,20,0,55,515,100000,139000
148,388,447,207,208.9,1.86,59,62.4,1.9,390,205,205,0,0,0,0,0,0,0,375,275,100,2.2,1.2,145,135,10,0.31,27000,25000,390,385,0,0,0,390,390,0,0,0,365,0,390,390,0,370,10,355,370,0,370,0,370,0,350,0,0,0,0,0,0,20,350,170,95,80,25.7,18.6,33.3,365,360,0,0,31200,27700,31500,27700,51200,45600,50,30,10,10,0,0,205,20000,27400
149,1176,1307,660,39.9,29.51,55.4,60.4,2,1155,570,550,5,5,0,0,0,0,15,1095,780,320,2.3,1.3,420,385,35,0.3,35600,31400,1155,1150,0,10,0,1155,1155,0,0,0,1160,15,1155,1150,5,1160,200,955,1160,10,1145,0,1155,0,1065,0,0,0,0,0,0,85,1080,350,345,385,42.6,32.9,21.7,1150,1130,10,15,35600,31050,36600,31400,65600,57400,320,250,35,15,0,20,530,70000,74400
151,559,664,292,72.1,7.75,52.4,57.2,2.2,560,260,240,5,0,0,10,0,0,0,520,340,175,2.4,1.4,200,170,30,0.28,36000,33000,560,555,0,0,0,560,560,0,0,0,505,0,560,560,0,500,70,430,500,0,495,0,500,0,480,0,0,0,0,0,0,20,460,165,100,195,41.3,27.2,34.2,495,470,0,20,36000,31500,38800,33400,68000,59200,115,35,50,15,0,15,225,80000,100000
158,1530,1743,1041,1.3,1204.46,53.4,59.2,2,1515,750,720,0,0,0,5,0,0,20,1395,905,490,2.4,1.5,520,450,65,0.31,37600,33200,1520,1490,0,25,0,1520,1515,5,0,0,1520,0,1520,1520,0,1515,75,1440,1515,0,1515,0,1515,0,1335,0,0,0,0,0,0,180,1325,310,445,565,46.4,33.2,28.5,1500,1420,30,50,40240,34960,39700,34400,69400,60300,430,180,80,115,15,40,700,150000,192400
159,1140,1174,634,0.6,1809.34,52.4,57.6,2.1,1140,555,535,0,0,0,5,0,0,10,1030,640,395,2.4,1.5,385,320,65,0.3,32400,29200,1140,1130,0,10,0,1140,1135,5,0,0,1140,0,1140,1130,0,1140,360,780,1140,0,1135,0,1140,0,925,0,0,0,0,0,0,215,1060,375,295,390,42,27.4,33.7,1140,1080,20,40,33500,29450,32400,28200,61400,54000,255,140,45,25,25,25,500,129000,150000
161,1139,1203,611,44.3,25.71,49.6,55.6,2.1,1140,545,500,10,0,20,0,0,0,10,1015,565,450,2.5,1.5,360,280,75,0.31,36000,32400,1140,1120,0,20,0,1140,1140,0,0,0,1135,0,1140,1135,0,1140,750,385,1135,0,1135,0,1140,0,1030,0,0,0,0,0,0,100,1045,230,265,550,40.2,30.1,25,1140,1090,0,45,35100,31000,34200,29800,67200,59200,290,130,105,25,0,25,440,150000,168000
164,1634,1719,826,52.6,31.07,51.6,56,2,1500,750,615,20,40,25,45,5,10,0,1460,720,735,2.5,1.5,450,345,110,0.31,32400,29200,1520,1495,0,30,0,1520,1515,5,0,0,1505,0,1520,1510,5,1505,830,675,1505,10,1490,0,1505,0,1370,0,0,0,0,0,0,130,1310,405,350,555,40.8,29.4,28,1495,1430,30,30,36200,31800,36000,30900,61700,54200,350,190,125,10,0,20,515,160000,189000
165,6540,6623,3412,185.4,35.27,47,50.8,2,6340,3190,1700,440,490,40,345,130,10,45,5695,2695,3000,2.6,1.6,1805,1330,475,0.34,34200,30480,6340,5985,5,345,0,6340,6290,45,0,0,6335,220,6340,6215,80,6340,2435,3900,6340,190,6145,120,6340,0,5350,10,0,65,0,0,15,900,5490,1215,1465,2815,46.7,38.8,17,6300,5660,355,290,38600,33480,37360,31960,64900,56350,1965,1465,275,65,60,100,1560,200000,213600
167,413,579,220,16.5,25.06,51.6,57.2,2.1,410,200,195,0,0,0,0,0,0,0,375,215,165,2.5,1.6,130,105,25,0.33,32500,28800,410,395,0,20,0,410,410,5,0,0,430,0,410,410,0,430,205,230,430,0,430,0,435,0,355,0,0,0,0,0,0,70,380,75,110,190,38.2,30.3,20.7,430,420,0,0,37200,32400,38000,32600,66500,57600,110,20,80,0,0,0,185,180000,196000
170,502,465,264,68,7.39,46,50,2.2,500,230,220,5,0,0,0,0,0,0,425,255,175,2.6,1.6,160,125,30,0.3,23000,21000,500,460,0,40,0,500,500,5,0,0,490,0,500,495,0,490,300,190,490,0,490,0,490,0,440,0,0,0,0,0,0,50,445,150,105,190,44.9,31.5,32.5,490,460,0,25,30600,27300,29900,26700,60000,53600,120,50,25,0,25,15,165,150000,154000
171,384,449,225,22.6,16.97,55,59.2,1.9,380,205,200,0,0,0,0,0,0,0,360,235,130,2.3,1.4,120,110,10,0.3,43000,35500,385,370,0,10,0,385,380,5,0,0,360,10,385,380,0,360,125,235,360,0,360,0,360,0,310,0,0,0,0,0,0,50,340,105,60,180,38.2,29.4,23.1,360,340,10,15,39200,33200,38600,32600,64500,54800,100,40,40,15,0,0,165,170000,176000
173,414,468,424,0.1,3409.22,56.8,60.4,2,415,205,195,0,0,0,5,0,0,5,395,290,105,2.3,1.3,150,145,10,0.29,26000,25000,415,410,0,5,0,415,410,0,0,0,470,0,415,410,0,470,65,405,470,0,470,0,470,0,435,0,0,0,0,0,0,40,450,190,160,95,28.9,21.1,26.9,475,455,10,10,30600,27500,29900,26500,59600,53600,90,60,0,0,0,15,200,100000,127000
174,4864,5249,2309,66.4,73.26,47.5,51.6,2.2,4790,2140,1645,140,40,75,170,0,5,55,4220,2565,1655,2.6,1.6,1530,1265,270,0.31,38600,33500,4865,4800,0,65,0,4865,4850,10,0,0,4755,50,4865,4815,40,4760,680,4080,4760,70,4690,35,4760,0,3995,0,0,0,0,0,0,740,4130,880,1380,1870,47.8,39.8,17,4730,4400,215,120,41520,35360,40920,34520,78600,67000,1525,1110,170,120,65,55,1560,220000,238200
175,277,284,169,39.2,7.07,53,58.8,2.2,280,125,115,0,0,0,0,0,0,5,245,170,80,2.6,1.7,85,85,5,0.3,25000,24000,280,275,0,0,0,280,280,0,0,0,330,15,280,275,0,330,55,280,330,0,330,0,335,0,315,0,0,0,0,0,0,10,300,130,80,95,45,30,33.3,335,320,0,0,36400,31800,36000,31000,74000,64000,80,50,15,0,0,15,145,60000,82000
178,439,429,217,13.3,32.99,53.1,58,2.2,440,200,195,5,0,0,0,0,0,0,405,280,125,2.4,1.5,155,140,15,0.26,32000,30000,440,435,0,0,0,440,440,0,0,0,465,0,440,440,0,465,35,425,465,0,465,0,465,0,405,0,0,0,0,0,0,65,425,220,140,65,49.4,35.3,28.6,465,425,0,35,32400,29100,35000,30800,72500,65000,135,85,25,0,10,15,160,100000,114000
179,550,509,259,9.4,58.28,46.8,50.4,2.4,550,230,215,0,0,0,10,0,0,0,480,305,170,2.7,1.7,180,150,30,0.27,32000,29000,550,535,0,15,0,550,550,0,0,0,615,0,550,550,0,615,95,520,615,0,615,0,615,0,415,0,0,0,0,0,0,195,510,145,145,220,50.5,43.7,13.5,610,540,15,55,38200,33200,36800,32000,76500,66500,220,110,50,35,15,15,190,200000,236000
187,19333,19806,9552,130.7,147.88,46.9,49.6,2.1,18590,8870,5470,390,350,1575,1015,5,60,5,17055,9195,7855,2.6,1.5,5550,4470,1085,0.32,39040,34080,18825,17860,0,945,20,18825,18730,60,20,20,18580,595,18825,18320,390,18590,4620,13975,18590,520,18070,355,18590,20,15025,50,0,60,70,0,40,3305,16320,2710,4640,8965,54.6,47.2,13.7,18460,16425,1370,660,44920,37920,43200,36200,80200,67700,7070,5235,1375,185,90,185,5535,230000,243400
