rec_num,lfsstat,prov,cma,age_12,sex,marstat,educ,mjh,cowmain,immig,naics_21,noc_10,noc_43,uhrsmain,ahrsmain,utothrs,atothrs,hrsaway,paidot,unpaidot,xtrahrs,tenure,hrlyearn,union,permtemp,estsize,firmsize,efamtype
68,1,24,0,4,1,2,4,1,2,3,10,8,35,40,40,40,40,0,0,0,0,3,28,3,1,2,3,3
69,1,35,4,3,2,6,5,1,2,2,8,3,10,37.5,37.5,37.5,37.5,0,0,0,0,13,23.85,3,1,3,3,18
72,1,48,0,6,1,3,4,1,2,3,4,10,41,42,36.8,42,36.8,0,0,0.8,0.8,167,82.42,3,1,4,4,1
73,1,24,0,5,1,6,4,1,2,3,7,10,42,40,40,40,40,0,0,0,0,21,21.8,3,1,2,2,1
79,1,35,0,10,2,5,5,1,1,3,16,2,6,35,35,35,35,0,0,0,0,177,48.35,3,1,4,4,1
80,1,46,6,9,1,1,3,1,2,3,9,7,33,55,55,55,55,0,0,15,15,46,44.23,3,1,1,3,2
81,1,24,0,11,2,6,5,1,2,3,17,2,7,32,36,32,36,0,0,0,0,57,24.97,3,1,2,2,1
82,1,12,0,9,2,6,4,1,2,3,15,7,34,55,55,55,55,0,0,0,0,96,16,3,1,2,2,15
83,1,35,4,7,1,1,5,1,1,3,16,5,25,35,35,35,35,0,0,0,0,240,26,1,1,3,4,3
84,1,59,9,7,2,2,3,1,2,3,12,2,6,40,16,40,16,24,0,0,0,39,33.65,3,1,4,4,8
86,1,59,9,9,1,1,5,1,2,2,13,3,11,40,39,40,39,8,0,7,7,26,55.29,3,1,2,2,2
88,1,35,0,9,1,6,2,1,2,3,19,8,36,40,40,40,40,0,0,0,0,166,15,3,1,2,4,18
91,1,48,0,8,2,4,2,1,2,3,10,7,33,37.5,37.5,37.5,37.5,0,0,0,0,224,23,3,1,3,4,18
94,1,24,0,6,1,2,4,1,2,3,6,8,35,40,40,40,40,0,0,0,0,218,43,1,1,1,1,3
97,1,35,0,7,2,5,3,2,2,3,17,1,2,40,40,56,40,0,0,0,0,240,29,3,1,3,3,14
99,1,59,9,8,2,6,6,1,2,3,16,5,20,35,35,35,35,0,0,0,0,240,54.95,3,1,2,2,1
101,1,59,0,6,1,2,4,1,2,3,20,8,35,40,40,40,40,0,0,0,0,3,40,3,1,1,1,3
102,1,59,0,5,2,6,6,1,1,3,21,1,2,35,35,35,35,0,0,0,0,71,52.2,1,1,4,4,1
104,1,35,5,2,2,1,4,2,2,3,17,4,18,37.5,37.5,53,53,0,0,0,0,12,25,1,1,2,3,18
105,1,35,4,3,2,1,5,1,2,3,6,2,6,40,40,40,40,0,0,0,0,11,25,3,1,2,2,5
107,1,24,2,3,2,2,4,1,1,3,17,5,26,35,35,35,35,0,0,0,0,87,25,1,1,3,4,3
108,1,35,0,8,1,4,4,1,1,3,21,5,20,35,50,35,50,0,0,15,15,235,46.7,3,1,1,3,1
111,1,46,6,6,2,1,4,1,2,3,12,7,32,40,40,40,40,0,0,0,0,15,37.5,3,1,2,4,3
112,1,35,0,8,2,6,5,1,2,3,19,7,34,36,36,36,36,0,0,0,0,67,17.5,3,1,1,1,18
113,1,48,8,9,1,2,4,2,2,2,6,2,6,40,45,55,60,0,0,5,5,15,57.21,3,1,3,4,4
115,1,59,9,2,2,6,2,1,2,3,8,2,9,40,40,40,40,0,0,0,0,24,26.44,3,1,1,3,1
118,1,59,9,12,2,1,2,1,2,2,1,9,40,40,40,40,40,0,0,0,0,104,18.2,3,1,1,1,8
119,1,59,0,2,2,6,5,1,2,3,9,2,9,37.5,30,37.5,30,7.5,0,0,0,23,25,3,1,1,1,1
120,1,35,4,10,2,1,5,1,2,2,17,4,18,40,40,40,40,0,0,0,0,240,28.05,3,1,3,4,8
121,1,11,0,10,1,1,4,1,1,3,16,2,5,37.5,37.5,37.5,37.5,0,0,0,0,22,35.9,3,1,2,2,4
122,1,46,6,11,2,5,2,1,1,3,17,1,2,40,40,40,40,0,0,0,0,171,48.08,3,1,2,3,3
123,1,35,0,4,1,2,5,1,2,3,9,7,33,40,40,40,40,0,0,0,0,43,33.65,3,1,1,4,2
128,1,12,0,7,2,5,5,1,1,3,21,1,2,37.5,27,37.5,27,10.5,0,0,0,240,60.51,3,1,3,4,15
130,1,35,0,9,2,6,2,1,2,3,13,2,8,40,40,40,40,0,0,0,0,8,28.85,3,1,2,2,15
136,1,46,6,2,1,6,2,1,1,3,17,5,24,40,42,40,42,0,0,2,2,17,15,3,1,1,2,17
138,1,24,0,3,1,6,4,1,2,3,8,10,43,36,36,36,36,0,0,0,0,23,47.1,1,1,3,4,18
139,1,46,0,9,2,1,5,1,1,3,16,5,20,40,45,40,45,0,0,5,5,240,44.23,1,1,1,3,2
141,1,35,4,8,2,2,5,1,2,3,12,1,2,40,24,40,24,16,0,0,0,240,64.9,3,1,2,2,9
144,1,12,0,3,1,6,5,1,1,3,21,2,6,37.5,37.5,37.5,37.5,0,0,0,0,55,33.33,1,1,1,4,18
154,1,59,9,4,2,6,4,1,2,3,17,5,24,35,35,35,35,0,0,0,0,37,21.5,3,1,2,2,18
155,1,12,0,3,1,6,5,1,2,2,19,7,32,30,30,30,30,0,0,0,0,104,15.15,3,4,2,3,2
158,1,35,0,3,2,2,4,1,2,3,11,7,33,40,40,40,40,0,0,0,0,70,24,1,1,3,3,3
163,1,48,7,10,1,1,4,1,2,3,10,8,35,40,40,40,40,0,0,0,0,240,20,3,1,3,3,5
165,1,48,7,7,1,4,4,1,2,3,14,3,12,40,40,40,40,0,0,0,0,29,52.88,3,1,1,1,1
168,1,48,8,5,1,6,4,1,2,3,19,7,34,35,40,35,40,0,0,0,0,24,20.89,1,1,3,4,18
175,1,24,0,8,1,2,5,1,1,3,17,4,15,35,41,35,41,0,6,0,6,131,48,1,1,4,4,2
176,1,46,0,6,1,4,4,1,1,3,11,8,35,40,40,40,40,0,0,0,0,214,35,1,1,3,4,14
178,1,59,0,6,2,1,5,1,2,3,1,1,4,40,43,40,43,0,3,0,3,22,33,3,1,1,1,3
182,1,12,0,9,1,1,5,1,2,1,13,8,36,40,40,40,40,0,0,0,0,11,20,3,1,1,3,5
183,1,12,0,10,2,1,5,1,1,3,17,4,17,48,48,48,48,0,0,0,0,32,34,1,1,3,4,4
186,1,35,4,2,1,6,2,1,2,3,7,10,43,40,40,40,40,0,0,0,0,33,22,3,1,1,1,18
187,1,46,6,6,2,1,4,1,2,2,17,4,18,43,43,43,43,0,0,0,0,185,19,1,1,1,1,3
188,1,35,0,4,1,2,2,1,2,3,8,10,42,36,36,36,36,0,0,0,0,54,22,3,1,3,4,2
189,1,12,0,5,2,1,3,1,2,3,19,1,3,45,39,45,39,16,0,0,0,198,37.38,3,1,2,2,3
197,1,35,4,2,1,6,5,2,1,3,17,2,6,37.5,37.5,67.5,69.5,0,0,0,0,22,27.18,1,1,2,2,18
199,1,24,0,7,1,1,4,1,2,3,6,1,4,40,57,40,57,0,0,0,0,240,117.79,3,1,2,4,3
200,1,48,8,6,2,1,5,1,2,1,10,7,34,32,32,32,32,0,0,0,0,17,15.3,1,1,2,4,3
201,1,47,0,4,2,1,4,1,2,3,17,5,24,37.5,30,37.5,30,7.5,0,0,0,42,25.19,2,1,2,2,3
203,1,12,0,10,2,1,4,1,2,3,14,2,9,30,30,30,30,0,0,0,0,240,24,3,3,1,4,8
204,1,24,1,5,2,6,5,1,1,3,16,5,20,32,32,32,32,0,0,0,0,218,40.73,1,1,2,4,1
205,1,35,0,6,2,6,5,1,2,2,6,2,8,40,40.5,40,40.5,0,0.5,0,0.5,7,25,3,1,2,3,1
211,1,48,0,8,2,6,2,1,2,3,10,2,9,40,60.5,40,60.5,0,0,20.5,20.5,240,33.65,3,1,1,1,1
212,1,24,0,7,1,6,4,1,2,3,10,7,32,36,36,36,36,0,0,0,0,156,23.5,3,1,2,2,1
213,1,46,0,10,2,5,5,1,1,3,17,5,21,35,45,35,45,0,0,10,10,9,31.43,3,1,3,4,18
216,1,46,6,5,2,1,4,1,2,2,8,10,42,40,40,40,40,0,0,0,0,128,19,3,1,2,2,9
219,1,35,0,10,1,1,4,1,2,2,20,5,21,40,40,40,40,0,0,0,0,234,19.23,3,1,1,1,4
221,1,59,0,11,1,1,2,1,2,3,7,10,43,40,40,40,40,0,0,0,0,240,33.89,1,1,3,3,2
224,1,24,2,9,2,1,5,1,1,2,18,6,27,35,39,35,39,0,0,4,4,110,29.73,1,1,2,4,3
225,1,35,0,2,1,6,5,1,2,3,14,2,5,37.5,37.5,37.5,37.5,0,0,0,0,18,30.76,3,1,4,4,3
226,1,10,0,5,2,1,4,1,1,3,17,4,16,37.5,16.5,37.5,16.5,21,0,0,0,179,43,1,1,4,4,3
231,1,35,4,10,2,5,4,1,2,2,9,7,33,37.5,37.5,37.5,37.5,0,0,0,0,57,45.57,3,1,2,3,18
238,1,59,0,3,2,1,3,2,2,3,17,5,21,31,31,39,39,0,0,0,0,19,37.64,1,3,2,2,3
239,1,24,0,4,2,6,4,1,1,3,17,4,18,35,35,35,35,0,0,0,0,55,26.5,1,1,4,4,14
243,1,35,0,5,1,6,3,1,2,3,11,8,36,42,45,42,45,0,1,0,1,10,23.5,3,1,1,1,1
245,1,35,0,3,2,6,5,1,1,3,17,2,7,37,37,37,37,0,0,0,0,66,45,3,1,4,4,18
246,1,59,0,8,2,6,5,1,2,3,17,6,30,40,40,40,40,0,0,0,0,15,36.06,3,1,3,4,18
250,1,35,0,11,2,4,3,1,2,3,10,7,34,40,40,40,40,0,0,0,0,240,30,3,1,3,4,1
252,1,35,0,9,2,5,4,1,1,3,17,4,17,35.5,15,35.5,15,22.5,0,0,0,240,51.73,1,1,3,3,14
260,1,35,4,2,1,6,4,1,2,3,6,8,35,40,48,40,48,0,8,0,8,60,38,1,1,2,3,4
264,1,48,0,6,2,1,6,2,1,3,16,5,21,40,16,42,18,24,0,0,0,199,48.08,1,1,3,4,3
268,1,35,3,2,1,6,4,1,2,3,17,2,9,37.5,15,37.5,15,22.5,0,0,0,11,21,1,1,2,4,2
269,1,46,6,6,2,2,6,1,1,3,21,1,2,32.5,35.5,32.5,35.5,7,7,3,10,235,69.22,3,1,2,4,2
270,1,24,2,5,2,1,4,1,1,3,21,3,13,35,35,35,35,0,0,0,0,1,38,1,1,4,4,3
275,1,48,7,7,1,1,5,1,2,3,14,3,11,40,32,40,32,8,0,0,0,19,97.12,3,1,2,2,3
277,1,24,2,6,2,6,5,1,1,3,11,2,6,37.5,37.5,37.5,37.5,0,0,0,0,25,55.9,3,1,4,4,1
284,1,35,0,5,2,6,4,1,2,3,7,10,43,40,40,40,40,0,0,0,0,63,24,3,1,3,3,14
285,1,10,0,4,1,1,6,1,2,3,14,3,11,40,32,40,32,8,0,0,0,7,40.87,3,1,1,1,1
287,1,47,0,9,2,6,3,1,1,3,21,2,7,36,34.5,36,34.5,1.5,0,0,0,240,32.63,1,1,3,4,1
291,1,24,2,8,2,1,2,1,1,2,16,5,22,35,35,35,35,0,0,0,0,182,34.07,1,1,2,4,3
292,1,35,0,5,2,1,5,1,2,2,9,2,6,40,40,40,40,0,0,0,0,2,57.69,3,1,2,3,3
294,1,35,3,6,1,1,4,1,2,1,13,9,40,40,40,40,40,0,0,0,0,20,19,3,1,1,1,6
295,1,35,4,5,1,6,5,1,2,1,14,3,11,40,40,40,40,0,0,0,0,123,33.65,3,1,1,1,1
297,1,46,6,9,2,1,2,1,2,3,19,7,32,37.5,37.5,37.5,37.5,0,0,0,0,94,15.32,3,1,2,4,8
299,1,24,2,4,1,6,4,1,2,3,8,10,42,42,42,42,42,0,0,0,0,87,31.5,1,1,4,4,1
303,1,24,2,3,2,6,4,1,2,3,20,7,32,30,30,30,30,0,0,0,0,21,16.75,3,1,1,1,4
304,1,59,0,4,2,1,4,1,2,3,17,1,2,75,37.5,75,37.5,0,0,0,0,19,26.5,3,2,1,2,2
306,1,46,6,5,2,1,6,1,2,3,19,7,31,32,28,32,28,24,0,0,0,7,18,3,1,2,4,2
311,1,35,0,3,1,6,5,1,2,1,19,7,31,38,38,38,38,0,0,0,0,36,18,3,1,2,4,1
312,1,59,9,11,1,1,2,1,2,3,7,8,35,40,40,40,40,0,0,0,0,240,43.27,3,1,2,2,2
313,1,47,0,6,2,1,2,1,2,3,10,7,33,36,28,36,28,8,0,0,0,12,22,3,1,1,1,3
314,1,24,0,8,2,1,4,1,1,3,17,2,8,35,35,35,35,0,0,0,0,240,25,1,1,2,4,2
315,1,24,0,8,1,1,4,1,1,3,11,8,35,35,35,35,35,0,0,0,0,240,60,2,1,2,4,4
316,1,24,1,4,2,2,2,1,2,3,12,7,32,37.5,37.5,37.5,37.5,0,0,0,0,110,27.79,2,1,1,2,9
320,1,35,3,2,1,6,4,1,2,3,19,7,34,30,30,30,30,0,0,0,0,8,17,3,1,1,4,10
325,1,10,0,7,1,1,5,1,2,3,14,3,11,35,35,35,35,0,0,0,0,29,71.43,3,1,2,2,3
327,1,35,4,10,2,1,2,1,2,2,15,2,9,44,44,44,44,0,0,0,0,200,16.61,3,1,1,1,8
330,1,35,0,6,1,2,6,1,1,3,16,5,22,35,35,35,35,0,0,0,0,23,50,3,3,1,4,2
332,1,24,0,2,1,6,3,1,2,3,4,8,36,50,50,50,50,0,0,0,0,39,46.15,1,1,4,4,4
339,1,24,1,6,1,6,4,1,2,3,11,8,35,40,45,40,45,0,5,0,5,82,23,3,1,1,1,1
343,1,13,0,7,2,4,2,1,1,3,21,2,7,37.5,37.5,37.5,37.5,0,0,0,0,80,34.87,1,1,3,3,14
344,1,13,0,4,1,6,4,1,2,3,15,8,37,40,38,40,38,2,0,0,0,6,26.25,3,1,1,4,1
345,1,10,0,5,2,1,2,1,2,3,9,7,31,40,40,40,40,0,0,0,0,70,22.6,3,1,1,2,2
347,1,12,0,6,1,6,2,1,2,3,11,8,36,40,40,40,40,0,0,0,0,65,17,3,1,1,1,18
349,1,46,6,10,2,1,4,1,2,3,18,1,3,60,60,60,60,0,0,20,20,236,89.74,3,1,3,3,2
350,1,59,0,6,1,2,4,1,2,3,20,8,35,40,40,40,40,0,0,0,0,30,35,3,1,1,1,3
352,1,48,0,3,1,2,3,1,2,3,11,8,36,65,67,65,67,0,2,0,2,72,29.23,3,1,1,4,3
353,1,47,0,5,1,1,3,1,2,2,9,8,35,40,43,40,43,0,3,0,3,106,30,3,1,2,3,3
355,1,24,0,5,1,6,0,1,2,3,7,10,42,36,36,36,36,0,0,0,0,26,28.62,1,1,3,4,1
357,1,46,6,8,2,1,4,1,2,2,7,10,42,50,71,50,71,0,0,0,0,240,16.4,3,1,1,1,2
358,1,47,0,3,1,6,3,1,2,3,15,7,31,40,48,40,48,0,0,8,8,35,21.75,3,1,1,4,1
359,1,10,0,7,1,1,5,1,2,3,14,3,12,40,84,40,84,0,44,0,44,143,55,3,1,1,4,3
360,1,59,0,3,1,6,4,1,2,3,9,8,38,35,35,35,35,0,0,0,0,28,32,3,2,1,1,1
361,1,35,0,7,1,1,2,1,2,3,11,8,37,40,40,40,40,0,0,0,0,4,20,3,1,1,1,3
363,1,35,0,5,1,1,5,1,2,1,17,4,16,40,40,40,40,0,0,0,0,17,42,1,1,2,2,6
366,1,35,5,5,1,1,5,1,2,1,9,2,5,40,47,40,47,0,0,7,7,55,52.88,3,1,2,3,5
368,1,48,0,3,1,6,3,1,2,3,15,8,36,40,82,40,82,0,30,12,42,6,30.5,3,1,3,3,1
370,1,46,0,5,1,2,4,1,1,3,21,5,23,40,48,40,48,0,8,0,8,138,40,1,1,1,4,6
371,1,59,9,5,1,1,5,2,2,2,12,2,7,30,23,50,43,7,0,0,0,190,26.92,3,1,1,4,2
375,1,35,4,7,1,1,5,1,2,1,12,1,2,37.5,37.5,37.5,37.5,0,0,0,0,101,87.18,3,1,4,4,3
378,1,59,0,2,2,6,2,2,2,3,6,2,9,37.5,37.5,42.5,42.5,0,0,0,0,7,26,3,1,1,1,1
379,1,35,0,9,2,4,4,1,1,3,17,4,18,50,68,50,68,0,8,0,8,215,29.4,1,1,4,4,1
384,1,35,0,9,2,1,5,1,2,1,10,7,33,70,70,70,70,0,0,0,0,24,22.55,1,1,2,4,1
388,1,35,4,4,1,1,4,1,2,3,7,10,42,40,40,40,40,0,0,0,0,73,25,3,1,2,2,5
389,1,24,2,3,1,6,3,1,2,2,11,7,33,30,30,30,30,0,0,0,0,40,28,1,1,4,4,18
392,1,46,6,5,2,1,6,1,2,3,20,5,26,40,40,40,40,0,0,0,0,7,17,3,1,1,1,3
393,1,24,2,7,1,1,4,1,2,3,19,7,32,40,40,40,40,0,0,0,0,33,15.5,2,3,2,2,3
395,1,46,6,3,1,6,5,1,2,1,10,8,36,40,40,40,40,0,0,0,0,133,25.26,3,1,2,4,18
399,1,24,2,6,1,1,4,1,2,3,8,10,42,40,40,40,40,0,0,0,0,165,31,1,1,3,4,3
400,1,35,4,7,2,1,6,1,2,1,8,1,2,40,40,40,40,0,0,0,0,74,86.54,3,1,3,4,3
402,1,35,0,5,2,2,6,1,1,3,17,5,21,37.5,25,37.5,25,12.5,0,0,0,127,64,3,1,4,4,3
413,1,24,0,5,1,2,5,1,1,3,16,5,20,33,38,33,38,0,0,5,5,137,43.71,1,1,4,4,3
414,1,35,4,11,1,5,6,1,1,3,16,5,20,37.5,37.5,37.5,37.5,0,0,0,0,56,58.97,1,1,3,3,18
418,1,59,0,7,1,6,4,1,2,3,6,8,35,60,30,60,30,0,0,0,0,4,35,3,3,2,2,1
419,1,59,0,3,1,6,3,1,2,3,6,8,35,35,35,35,35,0,0,0,0,10,23.08,3,1,1,1,2
422,1,48,7,7,2,2,1,1,2,3,20,2,8,40,32,40,32,8,0,0,0,240,43.81,3,1,1,1,8
424,1,47,0,8,2,5,5,1,1,3,16,5,20,40,40,40,40,0,0,0,0,139,24.81,1,1,2,4,15
425,1,35,3,9,2,1,5,1,2,3,6,8,35,35,35,35,35,0,0,0,0,60,41.14,3,1,2,2,4
428,1,35,4,9,1,1,6,1,1,3,10,2,5,36.3,36.3,36.3,36.3,0,0,0,0,240,69.4,3,1,4,4,7
429,1,47,0,8,2,1,2,1,1,3,21,2,9,40,29,40,29,11,0,0,0,111,32,1,1,2,4,3
430,1,35,5,10,2,2,1,1,2,3,9,8,36,40,40,40,40,0,0,0,0,35,18,3,1,2,2,1
431,1,35,0,7,2,1,4,1,2,3,17,5,24,40,40,40,40,0,0,0,0,240,26,1,1,3,4,4
435,1,48,0,6,2,1,2,1,1,3,18,2,9,35,36,35,36,1,2,0,2,18,31,1,1,2,2,3
438,1,35,0,7,1,2,1,1,2,3,2,8,35,40,36.6,40,36.6,0,0,0,0,240,35.88,3,1,3,4,2
439,1,24,2,4,2,2,6,2,1,3,17,5,21,35,35,42,42,0,0,0,0,114,39.4,1,1,3,4,3
441,1,35,4,6,2,1,4,1,1,3,16,5,20,36,36,36,36,0,0,0,0,115,36.11,1,1,2,4,3
446,1,35,3,7,1,1,4,1,2,3,7,1,4,40,40,40,40,0,0,0,0,240,74.52,3,1,3,3,3
448,1,24,0,11,1,1,4,1,2,3,7,7,33,40,40,40,40,0,0,0,0,151,25,3,1,3,3,5
451,1,35,0,8,1,2,4,1,2,3,12,1,2,37.5,42,37.5,42,0,0,0,0,240,67.69,3,1,4,4,3
458,1,24,0,6,1,6,6,1,1,2,21,1,2,35,41,35,41,0,0,6,6,92,70.88,3,1,3,4,1
459,1,47,0,6,2,5,5,2,2,3,18,6,29,36,18.5,51,33,17.5,0,0,0,55,21.5,3,1,1,3,14
460,1,24,2,7,2,1,6,1,2,2,12,1,2,37.5,37.5,37.5,37.5,0,0,0,0,171,37,3,1,1,4,3
463,1,35,0,6,1,5,4,1,2,3,4,8,35,40,40,40,40,0,0,0,0,147,45,1,1,4,4,1
467,1,13,0,8,1,1,6,1,1,3,17,1,2,37.5,37.5,37.5,37.5,0,0,0,0,94,49.75,3,1,4,4,3
468,1,48,7,10,2,5,4,1,2,2,17,4,18,37.5,33.5,37.5,33.5,4,0,0,0,20,16,3,1,3,3,1
469,1,12,0,9,2,4,2,1,2,3,10,7,34,30,24,30,24,6,0,0,0,240,19.4,3,1,2,4,1
470,1,24,1,9,2,2,5,1,1,3,16,5,20,34,34,34,34,0,0,0,0,240,34.67,1,1,2,2,3
471,1,10,0,9,2,1,2,1,2,3,10,2,9,40,40,40,40,0,0,0,0,240,19.75,3,1,2,2,2
472,1,24,0,2,1,2,4,1,2,3,6,8,35,40,40,40,40,0,0,0,0,55,37.5,1,1,2,2,3
474,1,35,0,8,2,1,2,1,2,3,8,10,42,40,40,40,40,0,0,0,0,240,30,1,1,4,4,10
477,1,35,0,7,1,1,2,1,2,3,9,8,36,44,54.5,44,54.5,0,10,0,10,54,29,3,1,2,4,3
479,1,48,0,2,2,6,2,1,2,3,17,2,9,40,40,40,40,0,0,0,0,22,22,3,1,1,1,18
480,1,24,2,10,1,5,6,1,2,3,7,1,2,38.8,38.8,38.8,38.8,0,0,0,0,240,88.53,3,1,4,4,15
487,1,35,4,4,2,1,4,1,2,3,10,7,31,38,38,38,38,0,0,0,0,102,42.51,3,1,3,4,8
488,1,24,0,9,1,6,4,1,2,3,6,8,35,40,40,40,40,0,0,0,0,7,44,1,1,1,4,1
492,1,13,0,6,1,1,4,1,1,3,21,5,23,42,50,42,50,0,8,0,8,170,36.63,1,1,2,2,4
493,1,35,4,4,2,6,4,1,2,3,12,2,5,40,40,40,40,0,0,0,0,5,21.68,3,1,2,2,18
497,1,35,0,9,1,1,4,1,2,3,6,1,4,40,40,40,40,0,0,0,0,49,71.63,3,1,2,4,3
501,1,35,0,10,2,1,4,1,2,3,17,1,2,40,40,40,40,0,0,0,0,226,45.67,3,1,1,1,4
502,1,59,9,2,1,2,5,1,2,3,11,1,4,35,35,35,35,0,0,0,0,6,24.5,3,1,2,2,5
503,1,24,2,5,1,1,4,1,2,3,11,8,35,40,40,40,40,0,0,0,0,192,41,1,1,3,4,2
505,1,35,5,9,1,1,2,1,2,3,6,3,13,40,40,40,40,0,0,0,0,71,44.3,3,1,2,2,2
506,1,59,9,4,2,6,4,1,2,3,17,2,7,45,55,45,55,0,0,10,10,167,32.48,3,1,3,4,18
512,1,35,0,3,2,6,5,1,2,3,6,1,4,37.5,37.5,37.5,37.5,0,0,0,0,73,42.31,3,1,3,4,1
514,1,24,0,2,1,2,4,1,2,3,7,10,42,40,46,40,46,0,6,0,6,26,20.5,3,1,3,3,2
515,1,35,0,6,1,1,2,1,2,3,15,9,39,40,40,40,40,0,0,0,0,240,40,3,1,2,2,3
518,1,10,0,5,1,2,4,1,1,3,17,8,35,37.5,58.5,37.5,58.5,0,0,21,21,188,26,1,1,3,4,3
520,1,24,2,4,1,1,5,1,1,1,11,8,35,40,40,40,40,0,0,0,0,28,35,1,1,4,4,6
521,1,35,4,5,2,2,4,1,2,3,15,2,9,40,44,40,44,0,0,4,4,48,33.65,3,1,1,1,2
522,1,24,0,5,2,6,4,1,2,3,12,2,9,35,40,35,40,0,5,0,5,191,30,3,1,1,4,1
524,1,35,0,9,1,1,5,1,2,3,6,8,35,40,40,40,40,0,0,0,0,240,50,1,1,1,2,4
525,1,24,2,3,1,1,4,1,2,2,6,8,35,40,40,40,40,0,0,0,0,23,25,3,1,1,1,3
527,1,48,0,4,2,1,5,1,1,3,17,4,16,40,40,40,40,0,0,0,0,161,43.27,1,1,4,4,3
528,1,35,4,10,1,1,5,1,2,3,8,1,3,40,48,40,48,0,0,8,8,240,96.15,3,1,1,1,2
532,1,13,0,8,2,1,2,1,2,3,19,7,31,40,50,40,50,0,0,10,10,240,26.44,3,1,3,4,4
533,1,10,0,4,2,1,4,1,2,3,12,2,7,32,32,32,32,0,0,0,0,65,21,3,1,3,4,3
534,1,59,9,6,1,1,5,1,2,3,14,3,12,40,42,40,42,0,0,2,2,83,84.38,3,1,3,3,3
535,1,48,0,10,2,2,4,1,1,3,18,6,30,30,30,30,30,0,0,0,0,2,25,3,1,2,2,2
538,1,10,0,9,2,1,4,1,2,3,20,2,8,40,40,40,40,0,0,0,0,113,25,3,1,1,1,2
539,1,13,0,10,2,1,4,1,1,3,17,4,17,37.5,37.5,37.5,37.5,0,0,0,0,214,32.5,1,1,3,4,2
544,1,35,0,2,1,6,2,1,2,3,10,2,9,40,32,40,32,8,0,0,0,67,23,3,1,1,4,15
